transaction_id,transaction_date,transaction_time,entity,transaction_type,transaction_user,type,serviceunit,amount,balance,reconciled,period,comment
1942.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:19.648742,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1943.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:24.083907,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1943.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:24.083907,job,acquired,mbithi,debit,cpu_hrs,5.0,99973953.6339998,yes,my2024,
1944.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:28.637784,job,acquired,mbithi,debit,cpu_hrs,5.0,99973948.6339998,yes,my2024,
1944.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:28.637784,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1945.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:33.381214,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1945.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:33.381214,job,acquired,mbithi,debit,cpu_hrs,5.0,99973943.6339998,yes,my2024,
1946.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:37.861480,job,acquired,mbithi,debit,cpu_hrs,5.0,99973938.6339998,yes,my2024,
1946.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:37.861480,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1947.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:42.371156,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1947.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:42.371156,job,acquired,mbithi,debit,cpu_hrs,5.0,99973933.6339998,yes,my2024,
1948.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:46.923974,job,acquired,mbithi,debit,cpu_hrs,5.0,99973928.6339998,yes,my2024,
1948.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:46.923974,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1949.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:51.419776,job,acquired,mbithi,debit,cpu_hrs,5.0,99973923.6339998,yes,my2024,
1949.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:51.419776,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1950.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:56.011855,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1950.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:56.011855,job,acquired,mbithi,debit,cpu_hrs,5.0,99973918.6339998,yes,my2024,
1942.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.197410,job,released,mbithi,credit,cpu_hrs,5.0,99973923.6339998,yes,my2024,
1935.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.209584,job,released,mbithi,credit,cpu_hrs,5.0,99973928.6339998,yes,my2024,
1946.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.220827,job,released,mbithi,credit,cpu_hrs,5.0,99973933.6339998,yes,my2024,
1940.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.231253,job,released,mbithi,credit,cpu_hrs,5.0,99973938.6339998,yes,my2024,
1926.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.241864,job,released,mbithi,credit,cpu_hrs,5.0,99973943.6339998,yes,my2024,
1947.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.252205,job,released,mbithi,credit,cpu_hrs,5.0,99973948.6339998,yes,my2024,
1939.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.263464,job,released,mbithi,credit,cpu_hrs,5.0,99973953.6339998,yes,my2024,
1945.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.274149,job,released,mbithi,credit,cpu_hrs,5.0,99973958.6339998,yes,my2024,
1932.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.284908,job,released,mbithi,credit,cpu_hrs,5.0,99973963.6339998,yes,my2024,
1927.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.295789,job,released,mbithi,credit,cpu_hrs,5.0,99973968.6339998,yes,my2024,
1943.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.306650,job,released,mbithi,credit,cpu_hrs,5.0,99973973.6339998,yes,my2024,
1949.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.317410,job,released,mbithi,credit,cpu_hrs,5.0,99973978.6339998,yes,my2024,
1950.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.328294,job,released,mbithi,credit,cpu_hrs,5.0,99973983.6339998,yes,my2024,
1948.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.338979,job,released,mbithi,credit,cpu_hrs,5.0,99973988.6339998,yes,my2024,
1933.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.351079,job,released,mbithi,credit,cpu_hrs,5.0,99973993.6339998,yes,my2024,
1938.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.362075,job,released,mbithi,credit,cpu_hrs,5.0,99973998.6339998,yes,my2024,
1934.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.372870,job,released,mbithi,credit,cpu_hrs,5.0,99974003.6339998,yes,my2024,
1928.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.383445,job,released,mbithi,credit,cpu_hrs,5.0,99974008.6339998,yes,my2024,
1944.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.393949,job,released,mbithi,credit,cpu_hrs,5.0,99974013.6339998,yes,my2024,
1931.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.404477,job,released,mbithi,credit,cpu_hrs,5.0,99974018.6339998,yes,my2024,
1925.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.415396,job,released,mbithi,credit,cpu_hrs,5.0,99974023.6339998,yes,my2024,
1941.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.425758,job,released,mbithi,credit,cpu_hrs,5.0,99974028.6339998,yes,my2024,
1930.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.436770,job,released,mbithi,credit,cpu_hrs,5.0,99974033.6339998,yes,my2024,
1929.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.447862,job,released,mbithi,credit,cpu_hrs,5.0,99974038.6339998,yes,my2024,
1936.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.458356,job,released,mbithi,credit,cpu_hrs,5.0,99974043.6339998,yes,my2024,
1937.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:59.469032,job,released,mbithi,credit,cpu_hrs,5.0,99974048.6339998,yes,my2024,
